date,cost
2023-10-20,600000
2023-10-21,600000
2023-10-22,600000
2023-10-23,100000
2023-10-24,100000
2023-10-25,600000
2023-10-26,600000
2023-10-27,600000
2023-10-28,600000
2023-10-29,600000
2023-10-30,100000
2023-10-31,100000
2023-11-01,710000
2023-11-02,710000
2023-11-03,710000
2023-11-04,710000
2023-11-05,710000
2023-11-06,100000
2023-11-07,100000
2023-11-08,710000
2023-11-09,710000
2023-11-10,710000
2023-11-11,710000
2023-11-12,710000
2023-11-13,100000
2023-11-14,100000
2023-11-15,1050000
2023-11-16,1050000
2023-11-17,1050000
2023-11-18,1050000
2023-11-19,1050000
2023-11-20,100000
2023-11-21,100000
2023-11-22,1050000
2023-11-23,1050000
2023-11-24,1050000
2023-11-25,1050000
2023-11-26,1050000
2023-11-27,100000
2023-11-28,100000
2023-11-29,1050000
2023-11-30,1050000
2023-12-01,1050000
2023-12-02,1050000
2023-12-03,1050000
2023-12-04,100000
2023-12-05,100000
2023-12-06,1050000
2023-12-07,1050000
2023-12-08,1050000
2023-12-09,1050000
2023-12-10,1050000
2023-12-11,100000
2023-12-12,100000
2023-12-13,1050000
2023-12-14,1050000
2023-12-15,1050000
2023-12-16,1050000
2023-12-17,1050000
2023-12-18,100000
2023-12-19,100000
2023-12-20,560000
2023-12-21,560000
2023-12-22,560000
2023-12-23,560000
2023-12-24,560000
2023-12-25,100000
2023-12-26,100000
2023-12-27,560000
2023-12-28,560000
2023-12-29,560000
2023-12-30,560000
2023-12-31,560000
