date,cost,click,cpc
2023-07-01,294981,110,2681.65
2023-07-02,309988,117,2649.47
2023-07-03,287749,121,2378.09
2023-07-04,287421,111,2589.38
2023-07-05,302301,100,3023.01
2023-07-06,306545,96,3193.18
2023-07-07,289278,102,2836.06
2023-07-08,287515,107,2687.06
2023-07-09,306015,132,2318.3
2023-07-10,112489,39,2884.33
2023-07-11,79479,0,0
2023-07-12,94600,0,0
2023-07-13,121233,0,0
2023-07-14,108341,0,0
2023-07-15,92460,0,0
2023-07-16,107841,0,0
2023-07-17,67159,0,0
2023-07-18,25490,0,0
2023-07-19,49140,0,0
2023-07-20,379923,59,6439.37
2023-07-21,383406,83,4619.35
2023-07-22,349754,53,6599.13
2023-07-23,289673,34,8519.79
2023-07-24,168348,28,6012.43
2023-07-25,184655,160,1154.09
2023-07-26,204000,126,1619.05
2023-07-27,203137,124,1638.2
2023-07-28,210157,136,1545.27
2023-07-29,207476,165,1257.43
2023-07-30,210838,152,1387.09
2023-07-31,269363,174,1548.06
2023-08-01,233737,193,1211.07
2023-08-02,0,0,0
2023-08-03,350557,271,1293.57
2023-08-04,374792,282,1329.05
2023-08-05,380825,284,1340.93
2023-08-06,327743,177,1851.66
2023-08-07,297851,220,1353.87
2023-08-08,320057,256,1250.22
2023-08-09,331397,290,1142.75
2023-08-10,317803,188,1690.44
2023-08-11,325252,159,2045.61
2023-08-12,399898,195,2050.76
2023-08-13,548758,326,1683.31
2023-08-14,578262,1012,571.41
2023-08-15,643982,1610,399.99
2023-08-16,684392,833,821.6
2023-08-17,698286,561,1244.72
2023-08-18,643512,1104,582.89
2023-08-19,660593,1035,638.25
2023-08-20,627009,930,674.2
2023-08-21,538940,645,835.57
2023-08-22,568024,859,661.26
2023-08-23,382067,564,677.42
2023-08-24,618641,778,795.17
2023-08-25,654357,626,1045.3
2023-08-26,635713,499,1273.97
2023-08-27,617496,389,1587.39
2023-08-28,697002,455,1531.87
2023-08-29,664804,775,857.81
2023-08-30,651856,654,996.72
2023-08-31,535266,551,971.44
2023-09-01,239999,319,752.35
2023-09-02,237327,332,714.84
2023-09-03,256345,356,720.07
2023-09-04,253703,394,643.92
2023-09-05,245581,329,746.45
2023-09-06,247345,372,664.91
2023-09-07,248073,262,946.84
2023-09-08,238451,220,1083.87
2023-09-09,233206,192,1214.61
2023-09-10,253693,228,1112.69
2023-09-11,243989,265,920.71
2023-09-12,244430,218,1121.24
2023-09-13,278399,263,1058.55
2023-09-14,267768,201,1332.18
2023-09-15,254126,243,1045.79
2023-09-16,255711,288,887.89
2023-09-17,264844,267,991.93
2023-09-18,231890,283,819.4
2023-09-19,282527,290,974.23
2023-09-20,188411,164,1148.85
2023-09-21,137692,79,1742.94
2023-09-22,217161,72,3016.13
2023-09-23,235983,84,2809.32
2023-09-24,243944,57,4279.72
2023-09-25,134224,22,6101.09
2023-09-26,103017,0,0
2023-09-27,107191,0,0
2023-09-28,37490,0,0
2023-09-29,9296,0,0
2023-09-30,2583,0,0
2023-10-01,0,0,0
2023-10-02,0,0,0
2023-10-03,0,0,0
2023-10-04,0,0,0
2023-10-05,0,0,0
2023-10-06,0,0,0
2023-10-07,0,0,0
2023-10-08,0,0,0
2023-10-09,63455,104,610.14
2023-10-10,98012,148,662.24
2023-10-11,98830,174,567.99
2023-10-12,96394,222,434.21
2023-10-13,96618,170,568.34
2023-10-14,99208,183,542.12
2023-10-15,50000,86,581.4
2023-10-16,0,0,0
2023-10-17,48850,54,904.63
2023-10-18,98024,168,583.48
2023-10-19,96435,190,507.55
2023-10-20,94768,148,640.32
2023-10-21,102133,180,567.41
2023-10-22,107806,182,592.34
2023-10-23,79376,94,844.43
2023-10-24,51004,0,0
2023-10-25,48914,0,0
2023-10-26,21195,0,0
2023-10-27,29085,1,29085
2023-10-28,46404,1,46404
2023-10-29,52933,0,0
2023-10-30,50765,0,0
2023-10-31,51232,0,0
2023-11-01,20101,0,0
2023-11-02,0,0,0
2023-11-03,0,0,0
2023-11-04,0,0,0
2023-11-05,0,0,0
2023-11-06,0,0,0
2023-11-07,0,0,0
2023-11-08,0,0,0
2023-11-09,0,0,0
