date,count,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,web_visitor,onboarded_shift_1_week,lawyer_online_count
2023-05-06,1,13.006024096385541,12.957575757575757,12.878048780487806,12.815950920245399,12.87037037037037,12.869565217391305,12.875,547.9137931034483,8.375,1
2023-05-07,0,1.0,12.957575757575757,12.878048780487806,12.815950920245399,12.87037037037037,12.869565217391305,12.875,547.9137931034483,8.375,0
2023-05-08,0,0.0,1.0,12.878048780487806,12.815950920245399,12.87037037037037,12.869565217391305,12.875,547.9137931034483,21.0,1
2023-05-09,3,0.0,0.0,1.0,12.815950920245399,12.87037037037037,12.869565217391305,12.875,547.9137931034483,21.0,3
2023-05-10,0,3.0,0.0,0.0,1.0,12.87037037037037,12.869565217391305,12.875,547.9137931034483,21.0,0
2023-05-11,0,0.0,3.0,0.0,0.0,1.0,12.869565217391305,12.875,547.9137931034483,21.0,0
2023-05-12,1,0.0,0.0,3.0,0.0,0.0,1.0,12.875,547.9137931034483,21.0,1
2023-05-13,0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,547.9137931034483,21.0,0
2023-05-14,0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,547.9137931034483,21.0,0
2023-05-15,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,547.9137931034483,0.0,1
2023-05-16,4,3.0,0.0,0.0,1.0,0.0,0.0,3.0,547.9137931034483,0.0,2
2023-05-17,0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,547.9137931034483,0.0,0
2023-05-18,0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,547.9137931034483,0.0,0
2023-05-19,7,0.0,0.0,4.0,3.0,0.0,0.0,1.0,547.9137931034483,0.0,1
2023-05-20,0,7.0,0.0,0.0,4.0,3.0,0.0,0.0,547.9137931034483,0.0,0
2023-05-21,0,0.0,7.0,0.0,0.0,4.0,3.0,0.0,547.9137931034483,0.0,0
2023-05-22,4,0.0,0.0,7.0,0.0,0.0,4.0,3.0,547.9137931034483,0.0,1
2023-05-23,0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,547.9137931034483,0.0,2
2023-05-24,0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,547.9137931034483,0.0,0
2023-05-25,3,0.0,0.0,4.0,0.0,0.0,7.0,0.0,547.9137931034483,0.0,4
2023-05-26,1,3.0,0.0,0.0,4.0,0.0,0.0,7.0,547.9137931034483,0.0,9
2023-05-27,0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,547.9137931034483,0.0,4
2023-05-28,0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,547.9137931034483,0.0,1
2023-05-29,0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,547.9137931034483,31.0,8
2023-05-30,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,547.9137931034483,31.0,5
2023-05-31,2,0.0,0.0,0.0,0.0,1.0,3.0,0.0,547.9137931034483,31.0,13
2023-06-01,1,2.0,0.0,0.0,0.0,0.0,1.0,3.0,547.9137931034483,31.0,3
2023-06-02,3,1.0,2.0,0.0,0.0,0.0,0.0,1.0,547.9137931034483,31.0,5
2023-06-03,0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,547.9137931034483,31.0,4
2023-06-04,0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,547.9137931034483,31.0,1
2023-06-05,9,0.0,0.0,3.0,1.0,2.0,0.0,0.0,547.9137931034483,0.0,11
2023-06-06,12,9.0,0.0,0.0,3.0,1.0,2.0,0.0,547.9137931034483,0.0,13
2023-06-07,12,12.0,9.0,0.0,0.0,3.0,1.0,2.0,547.9137931034483,0.0,10
2023-06-08,8,12.0,12.0,9.0,0.0,0.0,3.0,1.0,547.9137931034483,0.0,8
2023-06-09,4,8.0,12.0,12.0,9.0,0.0,0.0,3.0,547.9137931034483,0.0,11
2023-06-10,1,4.0,8.0,12.0,12.0,9.0,0.0,0.0,547.9137931034483,0.0,2
2023-06-11,0,1.0,4.0,8.0,12.0,12.0,9.0,0.0,547.9137931034483,0.0,2
2023-06-12,5,0.0,1.0,4.0,8.0,12.0,12.0,9.0,547.9137931034483,28.0,8
