,forecasted_value
2023-10-20,830.0999407799565
2023-10-21,896.1510237502783
2023-10-22,885.7070707482343
2023-10-23,354.0309984955773
2023-10-24,199.38144197750538
2023-10-25,781.1882740408957
2023-10-26,964.0704450226257
2023-10-27,899.5844780117657
2023-10-28,885.9089133677019
2023-10-29,851.2124653677062
2023-10-30,321.86689389232316
2023-10-31,212.71988089929036
2023-11-01,911.4995181873214
2023-11-02,1099.274897517109
2023-11-03,1017.7542509833658
2023-11-04,1004.9752454014947
2023-11-05,969.7731235561058
2023-11-06,332.79868939754965
2023-11-07,197.82629502026052
2023-11-08,909.3510080663747
2023-11-09,1098.3552670584827
2023-11-10,1018.4625971074031
2023-11-11,1008.5265806353755
2023-11-12,967.2588734297091
2023-11-13,346.1418471252774
2023-11-14,218.97549284201315
2023-11-15,1396.0232701368873
2023-11-16,1722.6583117730797
2023-11-17,1578.7597274519062
2023-11-18,1549.2531324878914
2023-11-19,1504.35380334506
2023-11-20,389.20820201249677
2023-11-21,143.8459742355712
2023-11-22,1389.581676470164
2023-11-23,1721.7663250773385
2023-11-24,1581.1981182334684
2023-11-25,1564.9568594626544
2023-11-26,1492.7558930647247
2023-11-27,424.7257015537344
2023-11-28,208.24997308565958
2023-11-29,1463.386305977866
2023-11-30,1796.2713601084838
2023-12-01,1654.2476326982091
2023-12-02,1634.3617570739166
2023-12-03,1564.49810295616
2023-12-04,433.7199952473049
2023-12-05,197.465930219171
2023-12-06,1460.903740348217
2023-12-07,1796.2819316564514
2023-12-08,1654.670441024788
2023-12-09,1636.467495693431
2023-12-10,1563.206615196169
2023-12-11,431.9717554571776
2023-12-12,197.59503037975446
2023-12-13,1461.2318049655264
2023-12-14,1796.3075789781487
2023-12-15,1654.810517106342
2023-12-16,1636.3807725947636
2023-12-17,1563.0796538050968
2023-12-18,383.9687467452828
2023-12-19,135.33583479282902
2023-12-20,909.366548092824
2023-12-21,1099.3214907325018
2023-12-22,1026.2664093436056
2023-12-23,1028.8355568571862
2023-12-24,957.6701239791914
2023-12-25,333.83415828946954
2023-12-26,220.65702895250288
2023-12-27,808.6270384657862
2023-12-28,959.0535660347801
2023-12-29,897.1208423640385
2023-12-30,889.1593456300532
2023-12-31,849.7255898365108
