date,count,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7
2023-05-06,1,12.951807228915662,12.903030303030302,12.829268292682928,12.766871165644172,12.820987654320987,12.838509316770187,12.84375
2023-05-07,0,1.0,12.903030303030302,12.829268292682928,12.766871165644172,12.820987654320987,12.838509316770187,12.84375
2023-05-08,0,0.0,1.0,12.829268292682928,12.766871165644172,12.820987654320987,12.838509316770187,12.84375
2023-05-09,3,0.0,0.0,1.0,12.766871165644172,12.820987654320987,12.838509316770187,12.84375
2023-05-10,0,3.0,0.0,0.0,1.0,12.820987654320987,12.838509316770187,12.84375
2023-05-11,0,0.0,3.0,0.0,0.0,1.0,12.838509316770187,12.84375
2023-05-12,1,0.0,0.0,3.0,0.0,0.0,1.0,12.84375
2023-05-13,0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
2023-05-14,0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
2023-05-15,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0
2023-05-16,4,3.0,0.0,0.0,1.0,0.0,0.0,3.0
2023-05-17,0,4.0,3.0,0.0,0.0,1.0,0.0,0.0
2023-05-18,0,0.0,4.0,3.0,0.0,0.0,1.0,0.0
2023-05-19,7,0.0,0.0,4.0,3.0,0.0,0.0,1.0
2023-05-20,0,7.0,0.0,0.0,4.0,3.0,0.0,0.0
2023-05-21,0,0.0,7.0,0.0,0.0,4.0,3.0,0.0
2023-05-22,4,0.0,0.0,7.0,0.0,0.0,4.0,3.0
2023-05-23,0,4.0,0.0,0.0,7.0,0.0,0.0,4.0
2023-05-24,0,0.0,4.0,0.0,0.0,7.0,0.0,0.0
2023-05-25,3,0.0,0.0,4.0,0.0,0.0,7.0,0.0
2023-05-26,1,3.0,0.0,0.0,4.0,0.0,0.0,7.0
2023-05-27,0,1.0,3.0,0.0,0.0,4.0,0.0,0.0
2023-05-28,0,0.0,1.0,3.0,0.0,0.0,4.0,0.0
2023-05-29,0,0.0,0.0,1.0,3.0,0.0,0.0,4.0
2023-05-30,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2023-05-31,2,0.0,0.0,0.0,0.0,1.0,3.0,0.0
2023-06-01,1,2.0,0.0,0.0,0.0,0.0,1.0,3.0
2023-06-02,3,1.0,2.0,0.0,0.0,0.0,0.0,1.0
2023-06-03,0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
2023-06-04,0,0.0,3.0,1.0,2.0,0.0,0.0,0.0
2023-06-05,9,0.0,0.0,3.0,1.0,2.0,0.0,0.0
2023-06-06,12,9.0,0.0,0.0,3.0,1.0,2.0,0.0
2023-06-07,12,12.0,9.0,0.0,0.0,3.0,1.0,2.0
2023-06-08,8,12.0,12.0,9.0,0.0,0.0,3.0,1.0
2023-06-09,4,8.0,12.0,12.0,9.0,0.0,0.0,3.0
2023-06-10,1,4.0,8.0,12.0,12.0,9.0,0.0,0.0
2023-06-11,0,1.0,4.0,8.0,12.0,12.0,9.0,0.0
2023-06-12,5,0.0,1.0,4.0,8.0,12.0,12.0,9.0
2023-06-13,10,5.0,0.0,1.0,4.0,8.0,12.0,12.0
2023-06-14,1,10.0,5.0,0.0,1.0,4.0,8.0,12.0
2023-06-15,4,1.0,10.0,5.0,0.0,1.0,4.0,8.0
2023-06-16,7,4.0,1.0,10.0,5.0,0.0,1.0,4.0
2023-06-17,0,7.0,4.0,1.0,10.0,5.0,0.0,1.0
2023-06-18,0,0.0,7.0,4.0,1.0,10.0,5.0,0.0
2023-06-19,9,0.0,0.0,7.0,4.0,1.0,10.0,5.0
2023-06-20,10,9.0,0.0,0.0,7.0,4.0,1.0,10.0
2023-06-21,10,10.0,9.0,0.0,0.0,7.0,4.0,1.0
2023-06-22,7,10.0,10.0,9.0,0.0,0.0,7.0,4.0
2023-06-23,10,7.0,10.0,10.0,9.0,0.0,0.0,7.0
2023-06-24,0,10.0,7.0,10.0,10.0,9.0,0.0,0.0
2023-06-25,0,0.0,10.0,7.0,10.0,10.0,9.0,0.0
2023-06-26,11,0.0,0.0,10.0,7.0,10.0,10.0,9.0
2023-06-27,6,11.0,0.0,0.0,10.0,7.0,10.0,10.0
2023-06-28,4,6.0,11.0,0.0,0.0,10.0,7.0,10.0
2023-06-29,0,4.0,6.0,11.0,0.0,0.0,10.0,7.0
2023-06-30,2,0.0,4.0,6.0,11.0,0.0,0.0,10.0
2023-07-01,0,2.0,0.0,4.0,6.0,11.0,0.0,0.0
2023-07-02,0,0.0,2.0,0.0,4.0,6.0,11.0,0.0
2023-07-03,10,0.0,0.0,2.0,0.0,4.0,6.0,11.0
2023-07-04,20,10.0,0.0,0.0,2.0,0.0,4.0,6.0
2023-07-05,21,20.0,10.0,0.0,0.0,2.0,0.0,4.0
2023-07-06,21,21.0,20.0,10.0,0.0,0.0,2.0,0.0
2023-07-07,8,21.0,21.0,20.0,10.0,0.0,0.0,2.0
2023-07-08,7,8.0,21.0,21.0,20.0,10.0,0.0,0.0
2023-07-09,0,7.0,8.0,21.0,21.0,20.0,10.0,0.0
2023-07-10,36,0.0,7.0,8.0,21.0,21.0,20.0,10.0
2023-07-11,21,36.0,0.0,7.0,8.0,21.0,21.0,20.0
2023-07-12,28,21.0,36.0,0.0,7.0,8.0,21.0,21.0
2023-07-13,19,28.0,21.0,36.0,0.0,7.0,8.0,21.0
2023-07-14,23,19.0,28.0,21.0,36.0,0.0,7.0,8.0
2023-07-15,0,23.0,19.0,28.0,21.0,36.0,0.0,7.0
2023-07-16,1,0.0,23.0,19.0,28.0,21.0,36.0,0.0
2023-07-17,17,1.0,0.0,23.0,19.0,28.0,21.0,36.0
2023-07-18,11,17.0,1.0,0.0,23.0,19.0,28.0,21.0
2023-07-19,4,11.0,17.0,1.0,0.0,23.0,19.0,28.0
2023-07-20,19,4.0,11.0,17.0,1.0,0.0,23.0,19.0
2023-07-21,15,19.0,4.0,11.0,17.0,1.0,0.0,23.0
2023-07-22,0,15.0,19.0,4.0,11.0,17.0,1.0,0.0
2023-07-23,0,0.0,15.0,19.0,4.0,11.0,17.0,1.0
2023-07-24,11,0.0,0.0,15.0,19.0,4.0,11.0,17.0
2023-07-25,14,11.0,0.0,0.0,15.0,19.0,4.0,11.0
2023-07-26,22,14.0,11.0,0.0,0.0,15.0,19.0,4.0
2023-07-27,9,22.0,14.0,11.0,0.0,0.0,15.0,19.0
2023-07-28,15,9.0,22.0,14.0,11.0,0.0,0.0,15.0
2023-07-29,1,15.0,9.0,22.0,14.0,11.0,0.0,0.0
2023-07-30,0,1.0,15.0,9.0,22.0,14.0,11.0,0.0
2023-07-31,20,0.0,1.0,15.0,9.0,22.0,14.0,11.0
2023-08-01,10,20.0,0.0,1.0,15.0,9.0,22.0,14.0
2023-08-02,9,10.0,20.0,0.0,1.0,15.0,9.0,22.0
2023-08-03,2,9.0,10.0,20.0,0.0,1.0,15.0,9.0
2023-08-04,7,2.0,9.0,10.0,20.0,0.0,1.0,15.0
2023-08-05,0,7.0,2.0,9.0,10.0,20.0,0.0,1.0
2023-08-06,1,0.0,7.0,2.0,9.0,10.0,20.0,0.0
2023-08-07,14,1.0,0.0,7.0,2.0,9.0,10.0,20.0
2023-08-08,15,14.0,1.0,0.0,7.0,2.0,9.0,10.0
2023-08-09,22,15.0,14.0,1.0,0.0,7.0,2.0,9.0
2023-08-10,13,22.0,15.0,14.0,1.0,0.0,7.0,2.0
