ds,y
2023-05-06,1
2023-05-07,0
2023-05-08,0
2023-05-09,3
2023-05-10,0
2023-05-11,0
2023-05-12,1
2023-05-13,0
2023-05-14,0
2023-05-15,3
2023-05-16,4
2023-05-17,0
2023-05-18,0
2023-05-19,7
2023-05-20,0
2023-05-21,0
2023-05-22,4
2023-05-23,0
2023-05-24,0
2023-05-25,3
2023-05-26,1
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,0
2023-05-31,2
2023-06-01,1
2023-06-02,3
2023-06-03,0
2023-06-04,0
2023-06-05,9
2023-06-06,12
2023-06-07,12
2023-06-08,8
2023-06-09,4
2023-06-10,1
2023-06-11,0
2023-06-12,5
2023-06-13,10
2023-06-14,1
2023-06-15,4
2023-06-16,7
2023-06-17,0
2023-06-18,0
2023-06-19,9
2023-06-20,10
2023-06-21,10
2023-06-22,7
2023-06-23,10
2023-06-24,0
2023-06-25,0
2023-06-26,11
2023-06-27,6
2023-06-28,4
2023-06-29,0
2023-06-30,2
2023-07-01,0
2023-07-02,0
2023-07-03,10
2023-07-04,20
2023-07-05,21
2023-07-06,21
2023-07-07,8
2023-07-08,7
2023-07-09,0
2023-07-10,36
2023-07-11,21
2023-07-12,28
2023-07-13,19
2023-07-14,23
2023-07-15,0
2023-07-16,1
2023-07-17,17
2023-07-18,11
2023-07-19,4
2023-07-20,19
2023-07-21,15
2023-07-22,0
2023-07-23,0
2023-07-24,11
2023-07-25,14
2023-07-26,22
2023-07-27,9
2023-07-28,15
2023-07-29,1
2023-07-30,0
2023-07-31,20
2023-08-01,10
2023-08-02,9
2023-08-03,2
2023-08-04,7
2023-08-05,0
2023-08-06,1
2023-08-07,14
2023-08-08,15
2023-08-09,22
2023-08-10,13
2023-08-11,15
2023-08-12,0
2023-08-13,1
2023-08-14,10
2023-08-15,33
2023-08-16,7
2023-08-17,13
2023-08-18,14
2023-08-19,1
2023-08-20,2
2023-08-21,21
2023-08-22,15
2023-08-23,16
2023-08-24,20
2023-08-25,25
2023-08-26,4
2023-08-27,3
2023-08-28,30
2023-08-29,21
2023-08-30,22
2023-08-31,20
2023-09-01,21
2023-09-02,5
2023-09-03,1
2023-09-04,33
2023-09-05,18
2023-09-06,23
2023-09-07,33
2023-09-08,32
2023-09-09,8
2023-09-10,5
2023-09-11,32
2023-09-12,43
2023-09-13,38
2023-09-14,48
2023-09-15,28
2023-09-16,10
2023-09-17,7
2023-09-18,47
2023-09-19,34
2023-09-20,37
2023-09-21,38
2023-09-22,21
2023-09-23,10
2023-09-24,11
2023-09-25,35
2023-09-26,38
2023-09-27,56
2023-09-28,32
2023-09-29,54
2023-09-30,21
2023-10-01,19
2023-10-02,13
2023-10-03,42
2023-10-04,54
2023-10-05,39
2023-10-06,1
2023-10-07,14
2023-10-08,8
2023-10-09,45
2023-10-10,42
2023-10-11,15
2023-10-12,10
2023-10-13,12
2023-10-14,10
2023-10-15,4
2023-10-16,23
2023-10-17,25
2023-10-18,21
2023-10-19,39
