,date,count
0,2023-05-06,1
1,2023-05-07,0
2,2023-05-08,0
3,2023-05-09,3
4,2023-05-10,0
5,2023-05-11,0
6,2023-05-12,1
7,2023-05-13,0
8,2023-05-14,0
9,2023-05-15,3
10,2023-05-16,4
11,2023-05-17,0
12,2023-05-18,0
13,2023-05-19,7
14,2023-05-20,0
15,2023-05-21,0
16,2023-05-22,4
17,2023-05-23,0
18,2023-05-24,0
19,2023-05-25,3
20,2023-05-26,1
21,2023-05-27,0
22,2023-05-28,0
23,2023-05-29,0
24,2023-05-30,0
25,2023-05-31,2
26,2023-06-01,1
27,2023-06-02,3
28,2023-06-03,0
29,2023-06-04,0
30,2023-06-05,9
31,2023-06-06,12
32,2023-06-07,12
33,2023-06-08,8
34,2023-06-09,4
35,2023-06-10,1
36,2023-06-11,0
37,2023-06-12,5
38,2023-06-13,10
39,2023-06-14,1
40,2023-06-15,4
41,2023-06-16,7
42,2023-06-17,0
43,2023-06-18,0
44,2023-06-19,9
45,2023-06-20,10
46,2023-06-21,10
47,2023-06-22,7
48,2023-06-23,10
49,2023-06-24,0
50,2023-06-25,0
51,2023-06-26,11
52,2023-06-27,6
53,2023-06-28,4
54,2023-06-29,0
55,2023-06-30,2
56,2023-07-01,0
57,2023-07-02,0
58,2023-07-03,10
59,2023-07-04,20
60,2023-07-05,21
61,2023-07-06,21
62,2023-07-07,8
63,2023-07-08,7
64,2023-07-09,0
65,2023-07-10,36
66,2023-07-11,21
67,2023-07-12,28
68,2023-07-13,19
69,2023-07-14,23
70,2023-07-15,0
71,2023-07-16,1
72,2023-07-17,17
73,2023-07-18,11
74,2023-07-19,4
75,2023-07-20,19
76,2023-07-21,15
77,2023-07-22,0
78,2023-07-23,0
79,2023-07-24,11
80,2023-07-25,14
81,2023-07-26,22
82,2023-07-27,9
83,2023-07-28,15
84,2023-07-29,1
85,2023-07-30,0
86,2023-07-31,20
87,2023-08-01,10
88,2023-08-02,9
89,2023-08-03,2
90,2023-08-04,7
91,2023-08-05,0
92,2023-08-06,1
93,2023-08-07,14
94,2023-08-08,15
95,2023-08-09,22
96,2023-08-10,13
97,2023-08-11,15
98,2023-08-12,0
99,2023-08-13,1
100,2023-08-14,10
101,2023-08-15,33
102,2023-08-16,7
103,2023-08-17,13
104,2023-08-18,14
105,2023-08-19,1
106,2023-08-20,2
107,2023-08-21,21
108,2023-08-22,15
109,2023-08-23,16
110,2023-08-24,20
111,2023-08-25,25
112,2023-08-26,4
113,2023-08-27,3
114,2023-08-28,30
115,2023-08-29,21
116,2023-08-30,22
117,2023-08-31,20
118,2023-09-01,21
119,2023-09-02,5
120,2023-09-03,1
121,2023-09-04,33
122,2023-09-05,18
123,2023-09-06,23
124,2023-09-07,33
125,2023-09-08,32
126,2023-09-09,8
127,2023-09-10,5
128,2023-09-11,32
129,2023-09-12,43
130,2023-09-13,38
131,2023-09-14,48
132,2023-09-15,28
133,2023-09-16,10
134,2023-09-17,7
135,2023-09-18,47
136,2023-09-19,34
137,2023-09-20,37
138,2023-09-21,38
139,2023-09-22,21
140,2023-09-23,10
141,2023-09-24,11
142,2023-09-25,35
143,2023-09-26,38
144,2023-09-27,56
145,2023-09-28,32
146,2023-09-29,54
147,2023-09-30,21
148,2023-10-01,19
149,2023-10-02,13
150,2023-10-03,42
151,2023-10-04,54
152,2023-10-05,39
153,2023-10-06,1
154,2023-10-07,14
155,2023-10-08,8
156,2023-10-09,45
157,2023-10-10,42
158,2023-10-11,15
159,2023-10-12,10
