created_at,bug_class,remarks,is_solved,solved_at,is_major
4/18/2023 11:10:51,Minor,,FALSE,,FALSE
4/18/2023 11:23:54,Major,,FALSE,,TRUE
5/9/2023 14:44:42,Minor,,FALSE,,FALSE
5/9/2023 17:17:26,Minor,,FALSE,,FALSE
5/15/2023 12:11:52,Minor,,FALSE,,FALSE
5/25/2023 11:34:24,Minor,,FALSE,,FALSE
5/26/2023 17:32:05,Major,,FALSE,,TRUE
5/29/2023 13:51:39,Minor,,FALSE,,FALSE
5/31/2023 10:12:29,Minor,Solved,TRUE,6/2/2023 9:45:00,FALSE
5/31/2023 10:52:07,Minor,OTP sementara Manual,TRUE,6/2/2023 9:45:00,FALSE
7/24/2023 11:02:42,Major,,FALSE,,TRUE
7/24/2023 11:04:54,Major,,FALSE,,TRUE
7/24/2023 11:12:32,Major,,FALSE,,TRUE
7/24/2023 11:32:34,Minor,,FALSE,,FALSE
7/24/2023 11:51:18,Major,,FALSE,,TRUE
7/24/2023 12:34:35,Major,,FALSE,,TRUE
7/24/2023 12:36:06,Major,,FALSE,,TRUE
7/24/2023 12:38:05,Minor,,FALSE,,FALSE
7/25/2023 17:17:56,Minor,Solved,TRUE,10/12/2023 14:30:00,FALSE
8/9/2023 13:24:21,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
8/23/2023 12:03:20,Major,,FALSE,,TRUE
8/23/2023 12:05:02,Major,,FALSE,,TRUE
9/4/2023 11:24:46,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/4/2023 16:46:12,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/19/2023 17:55:08,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/20/2023 11:20:17,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/20/2023 12:54:46,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/21/2023 10:55:30,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/21/2023 14:18:05,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/21/2023 16:01:42,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
9/21/2023 16:40:55,Major,Solved,TRUE,10/12/2023 14:30:00,TRUE
