,cum
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,2.0
2023-03-04,1.0
2023-03-05,1.0
2023-03-06,1.0
2023-03-07,1.0
2023-03-08,1.0
2023-03-09,1.0
2023-03-10,1.0
2023-03-11,1.0
2023-03-12,1.0
2023-03-13,2.0
2023-03-14,1.0
2023-03-15,1.0
2023-03-16,1.0
2023-03-17,1.0
2023-03-18,1.0
2023-03-19,1.0
2023-03-20,1.0
2023-03-21,2.0
2023-03-22,2.0
2023-03-23,3.0
2023-03-24,3.0
2023-03-25,2.0
2023-03-26,2.0
2023-03-27,5.0
2023-03-28,5.0
2023-03-29,4.0
2023-03-30,4.0
2023-03-31,4.0
2023-04-01,4.0
2023-04-02,4.0
2023-04-03,4.0
2023-04-04,4.0
2023-04-05,4.0
2023-04-06,4.0
2023-04-07,4.0
2023-04-08,4.0
2023-04-09,4.0
2023-04-10,5.0
2023-04-11,5.0
2023-04-12,5.0
2023-04-13,6.0
2023-04-14,6.0
2023-04-15,6.0
2023-04-16,6.0
2023-04-17,6.0
2023-04-18,6.0
2023-04-19,6.0
2023-04-20,6.0
2023-04-21,6.0
2023-04-22,6.0
2023-04-23,6.0
2023-04-24,6.0
2023-04-25,6.0
2023-04-26,6.0
2023-04-27,7.0
2023-04-28,7.0
2023-04-29,7.0
2023-04-30,8.0
2023-05-01,9.0
2023-05-02,7.0
2023-05-03,8.0
2023-05-04,8.0
2023-05-05,9.0
2023-05-06,9.0
2023-05-07,11.0
2023-05-08,11.0
2023-05-09,9.0
2023-05-10,10.0
2023-05-11,9.0
2023-05-12,9.0
2023-05-13,12.0
2023-05-14,14.0
2023-05-15,11.0
2023-05-16,14.0
2023-05-17,10.0
2023-05-18,11.0
2023-05-19,12.0
2023-05-20,11.0
2023-05-21,13.0
2023-05-22,15.0
2023-05-23,21.0
2023-05-24,16.0
2023-05-25,19.0
2023-05-26,23.0
2023-05-27,20.0
2023-05-28,20.0
2023-05-29,21.0
2023-05-30,21.0
2023-05-31,23.0
2023-06-01,35.0
2023-06-02,47.0
2023-06-03,30.0
2023-06-04,31.0
2023-06-05,33.0
2023-06-06,32.0
2023-06-07,32.0
2023-06-08,35.0
2023-06-09,34.0
2023-06-10,34.0
2023-06-11,35.0
2023-06-12,35.0
2023-06-13,34.0
2023-06-14,36.0
2023-06-15,46.0
2023-06-16,39.0
2023-06-17,44.0
2023-06-18,46.0
2023-06-19,50.0
2023-06-20,44.0
2023-06-21,44.0
2023-06-22,43.0
2023-06-23,46.0
2023-06-24,47.0
2023-06-25,48.0
2023-06-26,49.0
2023-06-27,47.0
2023-06-28,46.0
2023-06-29,62.0
2023-06-30,54.0
2023-07-01,51.0
2023-07-02,53.0
2023-07-03,50.0
2023-07-04,60.0
2023-07-05,58.0
2023-07-06,52.0
2023-07-07,54.0
2023-07-08,56.0
2023-07-09,58.0
2023-07-10,62.0
2023-07-11,59.0
2023-07-12,68.0
2023-07-13,69.0
2023-07-14,70.0
2023-07-15,72.0
2023-07-16,76.0
2023-07-17,80.0
2023-07-18,86.0
2023-07-19,85.0
2023-07-20,89.0
2023-07-21,76.0
2023-07-22,81.0
2023-07-23,86.0
2023-07-24,84.0
2023-07-25,87.0
2023-07-26,87.0
2023-07-27,87.0
2023-07-28,89.0
2023-07-29,92.0
2023-07-30,92.0
2023-07-31,96.0
2023-08-01,97.0
2023-08-02,96.0
2023-08-03,99.0
2023-08-04,99.0
2023-08-05,101.0
2023-08-06,104.0
2023-08-07,103.0
2023-08-08,100.0
2023-08-09,102.0
2023-08-10,103.0
2023-08-11,103.0
2023-08-12,107.0
2023-08-13,107.0
2023-08-14,106.0
2023-08-15,106.0
2023-08-16,107.0
2023-08-17,110.0
2023-08-18,109.0
2023-08-19,109.0
2023-08-20,111.0
2023-08-21,110.0
2023-08-22,115.0
2023-08-23,112.0
2023-08-24,113.0
2023-08-25,113.0
2023-08-26,115.0
2023-08-27,117.0
2023-08-28,122.0
2023-08-29,115.0
2023-08-30,115.0
2023-08-31,115.0
2023-09-01,115.0
2023-09-02,116.0
2023-09-03,118.0
2023-09-04,118.0
2023-09-05,125.0
2023-09-06,124.0
2023-09-07,125.0
2023-09-08,125.0
2023-09-09,129.0
2023-09-10,132.0
2023-09-11,129.0
2023-09-12,129.0
2023-09-13,131.0
2023-09-14,133.0
2023-09-15,133.0
2023-09-16,134.0
2023-09-17,134.0
2023-09-18,137.0
2023-09-19,139.0
2023-09-20,138.0
2023-09-21,141.0
2023-09-22,142.0
2023-09-23,145.0
2023-09-24,146.0
2023-09-25,145.0
2023-09-26,146.0
2023-09-27,149.0
2023-09-28,151.0
2023-09-29,151.0
2023-09-30,156.0
2023-10-01,159.0
2023-10-02,160.0
2023-10-03,157.0
2023-10-04,158.0
2023-10-05,159.0
2023-10-06,164.0
2023-10-07,169.0
2023-10-08,171.0
2023-10-09,169.0
2023-10-10,172.0
2023-10-11,170.0
2023-10-12,170.0
2023-10-13,172.0
2023-10-14,172.0
2023-10-15,173.0
2023-10-16,172.0
2023-10-17,163.0
2023-10-18,160.0
2023-10-19,165.0
2023-10-20,168.0
2023-10-21,169.0
2023-10-22,176.0
2023-10-23,166.0
2023-10-24,165.0
2023-10-25,166.0
2023-10-26,167.0
2023-10-27,164.0
2023-10-28,169.0
2023-10-29,170.0
2023-10-30,169.0
2023-10-31,171.0
2023-11-01,174.0
2023-11-02,176.0
2023-11-03,179.0
2023-11-04,185.0
2023-11-05,185.0
2023-11-06,184.0
2023-11-07,185.0
2023-11-08,186.0
2023-11-09,187.0
