date,Forecasted_Value
2023-10-20,598.0
2023-10-21,454.0
2023-10-22,397.0
2023-10-23,498.0
2023-10-24,561.0
2023-10-25,585.0
2023-10-26,612.0
2023-10-27,588.0
2023-10-28,485.0
2023-10-29,433.0
2023-10-30,490.0
2023-10-31,551.0
2023-11-01,574.0
2023-11-02,594.0
2023-11-03,579.0
2023-11-04,506.0
2023-11-05,459.0
2023-11-06,491.0
2023-11-07,541.0
2023-11-08,565.0
2023-11-09,580.0
2023-11-10,571.0
2023-11-11,520.0
2023-11-12,479.0
2023-11-13,495.0
2023-11-14,534.0
2023-11-15,558.0
2023-11-16,570.0
2023-11-17,564.0
2023-11-18,528.0
2023-11-19,495.0
2023-11-20,501.0
2023-11-21,530.0
2023-11-22,552.0
2023-11-23,562.0
2023-11-24,558.0
2023-11-25,533.0
2023-11-26,507.0
2023-11-27,507.0
2023-11-28,528.0
2023-11-29,547.0
2023-11-30,556.0
2023-12-01,554.0
2023-12-02,536.0
2023-12-03,515.0
2023-12-04,512.0
2023-12-05,527.0
2023-12-06,543.0
2023-12-07,551.0
2023-12-08,550.0
2023-12-09,538.0
2023-12-10,521.0
2023-12-11,516.0
2023-12-12,527.0
2023-12-13,540.0
2023-12-14,547.0
2023-12-15,547.0
2023-12-16,539.0
2023-12-17,526.0
2023-12-18,520.0
2023-12-19,527.0
2023-12-20,538.0
2023-12-21,544.0
2023-12-22,545.0
2023-12-23,539.0
2023-12-24,529.0
2023-12-25,524.0
2023-12-26,528.0
2023-12-27,536.0
2023-12-28,542.0
2023-12-29,543.0
2023-12-30,539.0
2023-12-31,531.0
