date,count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,working_hours_lawyers,late_hours_lawyers,web_visitor
2023-05-06,1,18.912844036697248,18.81566820276498,18.61574074074074,18.33953488372093,18.0,17.760563380281692,17.42924528301887,0.0,1.0,533.6524822695036
2023-05-07,0,1.0,18.81566820276498,18.61574074074074,18.33953488372093,18.0,17.760563380281692,17.42924528301887,0.0,0.0,533.6524822695036
2023-05-08,0,0.0,1.0,18.61574074074074,18.33953488372093,18.0,17.760563380281692,17.42924528301887,1.0,1.0,533.6524822695036
2023-05-09,3,0.0,0.0,1.0,18.33953488372093,18.0,17.760563380281692,17.42924528301887,2.0,0.0,533.6524822695036
2023-05-10,0,3.0,0.0,0.0,1.0,18.0,17.760563380281692,17.42924528301887,0.0,0.0,533.6524822695036
2023-05-11,0,0.0,3.0,0.0,0.0,1.0,17.760563380281692,17.42924528301887,0.0,0.0,533.6524822695036
2023-05-12,1,0.0,0.0,3.0,0.0,0.0,1.0,17.42924528301887,1.0,0.0,533.6524822695036
2023-05-13,0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,533.6524822695036
2023-05-14,0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,533.6524822695036
2023-05-15,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,533.6524822695036
2023-05-16,4,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,533.6524822695036
2023-05-17,0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,533.6524822695036
2023-05-18,0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,533.6524822695036
2023-05-19,7,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,533.6524822695036
2023-05-20,0,7.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,533.6524822695036
2023-05-21,0,0.0,7.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,533.6524822695036
2023-05-22,4,0.0,0.0,7.0,0.0,0.0,4.0,3.0,1.0,0.0,533.6524822695036
2023-05-23,0,4.0,0.0,0.0,7.0,0.0,0.0,4.0,2.0,0.0,533.6524822695036
2023-05-24,0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,533.6524822695036
2023-05-25,3,0.0,0.0,4.0,0.0,0.0,7.0,0.0,4.0,0.0,533.6524822695036
2023-05-26,1,3.0,0.0,0.0,4.0,0.0,0.0,7.0,5.0,4.0,533.6524822695036
2023-05-27,0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,533.6524822695036
2023-05-28,0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,533.6524822695036
2023-05-29,0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,6.0,1.0,533.6524822695036
2023-05-30,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,533.6524822695036
2023-05-31,2,0.0,0.0,0.0,0.0,1.0,3.0,0.0,12.0,2.0,533.6524822695036
2023-06-01,1,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,533.6524822695036
2023-06-02,3,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,533.6524822695036
2023-06-03,0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,533.6524822695036
2023-06-04,0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,533.6524822695036
2023-06-05,9,0.0,0.0,3.0,1.0,2.0,0.0,0.0,11.0,2.0,533.6524822695036
2023-06-06,12,9.0,0.0,0.0,3.0,1.0,2.0,0.0,13.0,2.0,533.6524822695036
2023-06-07,12,12.0,9.0,0.0,0.0,3.0,1.0,2.0,10.0,0.0,533.6524822695036
2023-06-08,8,12.0,12.0,9.0,0.0,0.0,3.0,1.0,8.0,1.0,533.6524822695036
2023-06-09,4,8.0,12.0,12.0,9.0,0.0,0.0,3.0,11.0,2.0,533.6524822695036
2023-06-10,1,4.0,8.0,12.0,12.0,9.0,0.0,0.0,2.0,0.0,533.6524822695036
2023-06-11,0,1.0,4.0,8.0,12.0,12.0,9.0,0.0,1.0,1.0,533.6524822695036
2023-06-12,5,0.0,1.0,4.0,8.0,12.0,12.0,9.0,8.0,3.0,533.6524822695036
2023-06-13,10,5.0,0.0,1.0,4.0,8.0,12.0,12.0,8.0,0.0,533.6524822695036
2023-06-14,1,10.0,5.0,0.0,1.0,4.0,8.0,12.0,5.0,3.0,533.6524822695036
2023-06-15,4,1.0,10.0,5.0,0.0,1.0,4.0,8.0,4.0,1.0,533.6524822695036
2023-06-16,7,4.0,1.0,10.0,5.0,0.0,1.0,4.0,4.0,1.0,533.6524822695036
2023-06-17,0,7.0,4.0,1.0,10.0,5.0,0.0,1.0,1.0,0.0,533.6524822695036
2023-06-18,0,0.0,7.0,4.0,1.0,10.0,5.0,0.0,1.0,0.0,533.6524822695036
2023-06-19,9,0.0,0.0,7.0,4.0,1.0,10.0,5.0,7.0,1.0,533.6524822695036
2023-06-20,10,9.0,0.0,0.0,7.0,4.0,1.0,10.0,10.0,1.0,533.6524822695036
2023-06-21,10,10.0,9.0,0.0,0.0,7.0,4.0,1.0,12.0,2.0,533.6524822695036
2023-06-22,7,10.0,10.0,9.0,0.0,0.0,7.0,4.0,9.0,1.0,533.6524822695036
2023-06-23,10,7.0,10.0,10.0,9.0,0.0,0.0,7.0,7.0,1.0,533.6524822695036
2023-06-24,0,10.0,7.0,10.0,10.0,9.0,0.0,0.0,3.0,0.0,533.6524822695036
2023-06-25,0,0.0,10.0,7.0,10.0,10.0,9.0,0.0,2.0,0.0,533.6524822695036
2023-06-26,11,0.0,0.0,10.0,7.0,10.0,10.0,9.0,10.0,1.0,527.0
2023-06-27,6,11.0,0.0,0.0,10.0,7.0,10.0,10.0,8.0,1.0,485.0
2023-06-28,4,6.0,11.0,0.0,0.0,10.0,7.0,10.0,5.0,2.0,404.0
2023-06-29,0,4.0,6.0,11.0,0.0,0.0,10.0,7.0,1.0,0.0,328.0
2023-06-30,2,0.0,4.0,6.0,11.0,0.0,0.0,10.0,3.0,1.0,344.0
2023-07-01,0,2.0,0.0,4.0,6.0,11.0,0.0,0.0,1.0,0.0,151.0
2023-07-02,0,0.0,2.0,0.0,4.0,6.0,11.0,0.0,0.0,0.0,118.0
2023-07-03,10,0.0,0.0,2.0,0.0,4.0,6.0,11.0,11.0,2.0,526.0
2023-07-04,20,10.0,0.0,0.0,2.0,0.0,4.0,6.0,12.0,3.0,913.0
2023-07-05,21,20.0,10.0,0.0,0.0,2.0,0.0,4.0,13.0,1.0,1006.0
2023-07-06,21,21.0,20.0,10.0,0.0,0.0,2.0,0.0,14.0,1.0,685.0
2023-07-07,8,21.0,21.0,20.0,10.0,0.0,0.0,2.0,9.0,3.0,492.0
2023-07-08,7,8.0,21.0,21.0,20.0,10.0,0.0,0.0,5.0,3.0,182.0
2023-07-09,0,7.0,8.0,21.0,21.0,20.0,10.0,0.0,5.0,0.0,163.0
2023-07-10,36,0.0,7.0,8.0,21.0,21.0,20.0,10.0,13.0,6.0,580.0
2023-07-11,21,36.0,0.0,7.0,8.0,21.0,21.0,20.0,10.0,2.0,511.0
2023-07-12,28,21.0,36.0,0.0,7.0,8.0,21.0,21.0,18.0,4.0,532.0
2023-07-13,19,28.0,21.0,36.0,0.0,7.0,8.0,21.0,9.0,1.0,549.0
2023-07-14,23,19.0,28.0,21.0,36.0,0.0,7.0,8.0,9.0,1.0,458.0
