date,count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,cost_google,cost_meta
2023-07-01,151,524.5987654320987,525.6024844720497,525.76875,525.9811320754717,525.8481012658228,526.0573248407643,526.224358974359,0,294981
2023-07-02,118,151.0,525.6024844720497,525.76875,525.9811320754717,525.8481012658228,526.0573248407643,526.224358974359,0,309988
2023-07-03,526,118.0,151.0,525.76875,525.9811320754717,525.8481012658228,526.0573248407643,526.224358974359,267006,287749
2023-07-04,913,526.0,118.0,151.0,525.9811320754717,525.8481012658228,526.0573248407643,526.224358974359,259442,287421
2023-07-05,1006,913.0,526.0,118.0,151.0,525.8481012658228,526.0573248407643,526.224358974359,252299,302301
2023-07-06,685,1006.0,913.0,526.0,118.0,151.0,526.0573248407643,526.224358974359,246379,306545
2023-07-07,492,685.0,1006.0,913.0,526.0,118.0,151.0,526.224358974359,190815,289278
2023-07-08,182,492.0,685.0,1006.0,913.0,526.0,118.0,151.0,0,287515
2023-07-09,163,182.0,492.0,685.0,1006.0,913.0,526.0,118.0,0,306015
2023-07-10,580,163.0,182.0,492.0,685.0,1006.0,913.0,526.0,336804,112489
2023-07-11,511,580.0,163.0,182.0,492.0,685.0,1006.0,913.0,264898,79479
2023-07-12,532,511.0,580.0,163.0,182.0,492.0,685.0,1006.0,229696,94600
2023-07-13,549,532.0,511.0,580.0,163.0,182.0,492.0,685.0,278702,121233
2023-07-14,458,549.0,532.0,511.0,580.0,163.0,182.0,492.0,252653,108341
2023-07-15,82,458.0,549.0,532.0,511.0,580.0,163.0,182.0,0,92460
2023-07-16,90,82.0,458.0,549.0,532.0,511.0,580.0,163.0,0,107841
2023-07-17,451,90.0,82.0,458.0,549.0,532.0,511.0,580.0,253694,67159
2023-07-18,439,451.0,90.0,82.0,458.0,549.0,532.0,511.0,254520,25490
2023-07-19,315,439.0,451.0,90.0,82.0,458.0,549.0,532.0,150660,49140
2023-07-20,549,315.0,439.0,451.0,90.0,82.0,458.0,549.0,256005,379923
2023-07-21,527,549.0,315.0,439.0,451.0,90.0,82.0,458.0,232083,383406
2023-07-22,156,527.0,549.0,315.0,439.0,451.0,90.0,82.0,0,349754
2023-07-23,112,156.0,527.0,549.0,315.0,439.0,451.0,90.0,0,289673
2023-07-24,502,112.0,156.0,527.0,549.0,315.0,439.0,451.0,318918,168348
2023-07-25,506,502.0,112.0,156.0,527.0,549.0,315.0,439.0,235696,184655
2023-07-26,541,506.0,502.0,112.0,156.0,527.0,549.0,315.0,230960,204000
2023-07-27,537,541.0,506.0,502.0,112.0,156.0,527.0,549.0,227220,203137
2023-07-28,500,537.0,541.0,506.0,502.0,112.0,156.0,527.0,214743,210157
2023-07-29,196,500.0,537.0,541.0,506.0,502.0,112.0,156.0,0,207476
2023-07-30,173,196.0,500.0,537.0,541.0,506.0,502.0,112.0,0,210838
2023-07-31,624,173.0,196.0,500.0,537.0,541.0,506.0,502.0,295316,269363
2023-08-01,309,624.0,173.0,196.0,500.0,537.0,541.0,506.0,0,233737
2023-08-02,227,309.0,624.0,173.0,196.0,500.0,537.0,541.0,0,0
2023-08-03,856,227.0,309.0,624.0,173.0,196.0,500.0,537.0,583507,350557
2023-08-04,771,856.0,227.0,309.0,624.0,173.0,196.0,500.0,522756,374792
2023-08-05,232,771.0,856.0,227.0,309.0,624.0,173.0,196.0,0,380825
2023-08-06,172,232.0,771.0,856.0,227.0,309.0,624.0,173.0,0,327743
2023-08-07,606,172.0,232.0,771.0,856.0,227.0,309.0,624.0,318152,297851
2023-08-08,678,606.0,172.0,232.0,771.0,856.0,227.0,309.0,314557,320057
2023-08-09,674,678.0,606.0,172.0,232.0,771.0,856.0,227.0,312122,331397
2023-08-10,651,674.0,678.0,606.0,172.0,232.0,771.0,856.0,312066,317803
2023-08-11,696,651.0,674.0,678.0,606.0,172.0,232.0,771.0,280777,325252
2023-08-12,241,696.0,651.0,674.0,678.0,606.0,172.0,232.0,0,399898
2023-08-13,222,241.0,696.0,651.0,674.0,678.0,606.0,172.0,0,548758
2023-08-14,1144,222.0,241.0,696.0,651.0,674.0,678.0,606.0,575587,578262
2023-08-15,1364,1144.0,222.0,241.0,696.0,651.0,674.0,678.0,456049,643982
2023-08-16,847,1364.0,1144.0,222.0,241.0,696.0,651.0,674.0,440430,684392
2023-08-17,668,847.0,1364.0,1144.0,222.0,241.0,696.0,651.0,267467,698286
2023-08-18,929,668.0,847.0,1364.0,1144.0,222.0,241.0,696.0,393484,643512
2023-08-19,494,929.0,668.0,847.0,1364.0,1144.0,222.0,241.0,0,660593
2023-08-20,471,494.0,929.0,668.0,847.0,1364.0,1144.0,222.0,0,627009
2023-08-21,845,471.0,494.0,929.0,668.0,847.0,1364.0,1144.0,547596,538940
2023-08-22,954,845.0,471.0,494.0,929.0,668.0,847.0,1364.0,536044,568024
2023-08-23,942,954.0,845.0,471.0,494.0,929.0,668.0,847.0,446599,382067
2023-08-24,920,942.0,954.0,845.0,471.0,494.0,929.0,668.0,512627,618641
