date,count
2023-06-26,527
2023-06-27,485
2023-06-28,404
2023-06-29,328
2023-06-30,344
2023-07-01,151
2023-07-02,118
2023-07-03,526
2023-07-04,913
2023-07-05,1006
2023-07-06,685
2023-07-07,492
2023-07-08,182
2023-07-09,163
2023-07-10,580
2023-07-11,511
2023-07-12,532
2023-07-13,549
2023-07-14,458
2023-07-15,82
2023-07-16,90
2023-07-17,451
2023-07-18,439
2023-07-19,315
2023-07-20,549
2023-07-21,527
2023-07-22,156
2023-07-23,112
2023-07-24,502
2023-07-25,506
2023-07-26,541
2023-07-27,537
2023-07-28,500
2023-07-29,196
2023-07-30,173
2023-07-31,624
2023-08-01,309
2023-08-02,227
2023-08-03,856
2023-08-04,771
2023-08-05,232
2023-08-06,172
2023-08-07,606
2023-08-08,678
2023-08-09,674
2023-08-10,651
2023-08-11,696
2023-08-12,241
2023-08-13,222
2023-08-14,1144
2023-08-15,1364
2023-08-16,847
2023-08-17,668
2023-08-18,929
2023-08-19,494
2023-08-20,471
2023-08-21,845
2023-08-22,954
2023-08-23,942
2023-08-24,920
2023-08-25,834
2023-08-26,323
2023-08-27,239
2023-08-28,866
2023-08-29,981
2023-08-30,1048
2023-08-31,828
2023-09-01,675
2023-09-02,299
2023-09-03,250
2023-09-04,768
2023-09-05,784
2023-09-06,774
2023-09-07,766
2023-09-08,734
2023-09-09,326
2023-09-10,275
2023-09-11,830
2023-09-12,739
2023-09-13,722
2023-09-14,855
2023-09-15,778
2023-09-16,326
2023-09-17,289
2023-09-18,828
2023-09-19,799
2023-09-20,704
2023-09-21,664
2023-09-22,664
2023-09-23,228
2023-09-24,177
2023-09-25,575
2023-09-26,626
2023-09-27,728
2023-09-28,506
2023-09-29,592
2023-09-30,248
2023-10-01,261
2023-10-02,333
2023-10-03,568
2023-10-04,600
2023-10-05,607
2023-10-06,592
2023-10-07,251
2023-10-08,233
2023-10-09,663
2023-10-10,613
2023-10-11,595
2023-10-12,678
2023-10-13,672
2023-10-14,418
2023-10-15,309
2023-10-16,566
2023-10-17,535
2023-10-18,620
2023-10-19,629
2023-10-20,564
2023-10-21,382
2023-10-22,381
2023-10-23,642
2023-10-24,512
2023-10-25,564
2023-10-26,730
2023-10-27,498
2023-10-28,320
2023-10-29,224
2023-10-30,491
2023-10-31,531
2023-11-01,516
2023-11-02,555
2023-11-03,478
2023-11-04,336
2023-11-05,286
2023-11-06,576
2023-11-07,598
2023-11-08,525
2023-11-09,519
2023-11-10,505
2023-11-11,255
2023-11-12,217
2023-11-13,482
2023-11-14,503
2023-11-15,520
2023-11-16,510
2023-11-17,504
2023-11-18,289
2023-11-19,306
2023-11-20,485
2023-11-21,518
2023-11-22,504
2023-11-23,512
2023-11-24,503
2023-11-25,312
2023-11-26,308
2023-11-27,518
2023-11-28,499
2023-11-29,504
2023-11-30,509
2023-12-01,504
2023-12-02,308
2023-12-03,318
2023-12-04,500
2023-12-05,493
2023-12-06,547
2023-12-07,492
2023-12-08,499
2023-12-09,363
2023-12-10,345
2023-12-11,568
2023-12-12,523
