,forecasted_value
2023-11-10,679.27490234375
2023-11-11,692.0164184570312
2023-11-12,691.1226196289062
2023-11-13,310.9825134277344
2023-11-14,227.25204467773438
2023-11-15,1002.6737060546875
2023-11-16,1157.9124755859375
2023-11-17,1077.873046875
2023-11-18,869.133056640625
2023-11-19,860.590576171875
2023-11-20,390.1723937988281
2023-11-21,459.7779541015625
2023-11-22,903.5440063476562
2023-11-23,1040.8565673828125
2023-11-24,1035.620361328125
2023-11-25,863.6397094726562
2023-11-26,846.7796020507812
2023-11-27,364.0812683105469
2023-11-28,444.2103271484375
2023-11-29,894.3941650390625
2023-11-30,976.47314453125
2023-12-01,982.1824951171875
2023-12-02,851.0048217773438
2023-12-03,834.177978515625
2023-12-04,323.0536193847656
2023-12-05,248.95289611816406
2023-12-06,894.6224365234375
2023-12-07,976.7807006835938
2023-12-08,984.7665405273438
2023-12-09,839.087646484375
2023-12-10,842.9844970703125
2023-12-11,323.614013671875
2023-12-12,249.9877166748047
2023-12-13,894.6224365234375
2023-12-14,976.7807006835938
2023-12-15,984.7665405273438
2023-12-16,839.087646484375
2023-12-17,842.9844970703125
2023-12-18,330.8655090332031
2023-12-19,297.130615234375
2023-12-20,928.2511596679688
2023-12-21,1035.7525634765625
2023-12-22,913.1170043945312
2023-12-23,837.1766357421875
2023-12-24,818.22998046875
2023-12-25,328.45233154296875
2023-12-26,401.9105529785156
2023-12-27,770.0450439453125
2023-12-28,786.217529296875
2023-12-29,777.4854736328125
2023-12-30,791.4839477539062
2023-12-31,797.0422973632812
